schema_version,picture_id,file,display_ms,caption_en,caption_zh,caption_zh_tr,caption_ja,caption_ja_tr,es_sentence,fr_sentence
1,pic_001,1.jpg,10000,The teacher explains a difficult math problem to a classroom full of students.,老师向满教室的学生讲解一个难的数学题。,Lǎoshī xiàng mǎn jiàoshì de xuéshēng jiǎngjiě yī gè nán de shùxué tí.,先生は教室いっぱいの生徒に難しい数学の問題を説明します。,Sensei wa kyoushitsu ippai no seito ni muzukashii suugaku no mondai o setsumei shimasu.,El maestro explica un problema de matemáticas difícil a un aula llena de estudiantes.,Le professeur explique un problème de mathématiques difficile à une classe pleine d’élèves.
1,pic_002,2.jpg,10000,The teacher gives feedback on essays during a parent-teacher meeting.,老师在家长会时对作文进行反馈。,Lǎoshī zài jiāzhǎng huì shí duì zuòwén jìnxíng fǎnkuì.,先生は三者面談で作文のフィードバックをします。,Sensei wa sansha mendan de sakubun no fiidobakku o shimasu.,El maestro da comentarios sobre los ensayos durante una reunión de padres y maestros.,Le professeur donne un retour sur les dissertations lors d'une réunion parents-professeurs.
1,pic_003,3.jpg,10000,The doctor examines a patient and listens carefully to their symptoms.,医生给病人检查，仔细听他们的症状。,"Yīshēng gěi bìngrén jiǎnchá, zǐxì tīng tāmen de zhèngzhuàng.",医者は患者を診察し、症状を丁寧に聞きます。,"Isha wa kanja o shinsatsu shi, shoujou o teinei ni kikimasu.",El médico examina a un paciente y escucha atentamente sus síntomas.,Le médecin examine un patient et écoute attentivement ses symptômes.
1,pic_004,4.jpg,10000,The doctor writes a prescription for someone who is feeling unwell.,医生给不舒服的人开处方。,Yīshēng gěi bù shūfu de rén kāi chǔfāng.,医者は体調が悪い人に処方箋を書きます。,Isha wa taichou ga warui hito ni shohousen o kakimasu.,El médico escribe una receta para alguien que no se siente bien.,Le médecin rédige une ordonnance pour quelqu’un qui ne se sent pas bien.
1,pic_005,5.jpg,10000,The nurse gives medicine to a patient in the hospital.,护士在医院给病人喂药。,Hùshi zài yīyuàn gěi bìngrén wèi yào.,看護師は病院で患者に薬を与えます。,Kangoshi wa byouin de kanja ni kusuri o ataemasu.,La enfermera da medicina a un paciente en el hospital.,L’infirmière donne des médicaments à un patient à l’hôpital.
1,pic_006,6.jpg,10000,The nurse checks the blood pressure of an elderly man.,护士给一位老人量血压。,Hùshi gěi yī wèi lǎorén liàng xuèyā.,看護師は高齢の男性の血圧を測ります。,Kangoshi wa koureina dansei no ketsuatsu o hakarimasu.,La enfermera revisa la presión arterial de un hombre mayor.,L’infirmière vérifie la tension artérielle d’un homme âgé.
1,pic_007,7.jpg,10000,The engineer reviews blueprints before starting work on a new bridge.,工程师在建新桥前查看蓝图。,Gōngchéngshī zài jiàn xīnqiáo qián chákàn lántú.,エンジニアは新しい橋を作る前に設計図を確認します。,Enjinia wa atarashii hashi o tsukuru mae ni sekkeizu o kakunin shimasu.,El ingeniero revisa los planos antes de comenzar la construcción de un nuevo puente.,L’ingénieur examine les plans avant de commencer à travailler sur un nouveau pont.
1,pic_008,8.jpg,10000,The engineer tests a machine to make sure it is safe to use.,工程师测试机器以确保使用安全。,Gōngchéngshī cèshì jīqì yǐ quèbǎo shǐyòng ānquán.,エンジニアは機械が安全に使えるかテストします。,Enjinia wa kikai ga anzen ni tsukaeru ka tesuto shimasu.,El ingeniero prueba una máquina para asegurarse de que sea segura.,L’ingénieur teste une machine pour s’assurer qu’elle est sûre à utiliser.
1,pic_009,9.jpg,10000,The police officer directs traffic during rush hour at a busy intersection.,警察在繁忙路口高峰时段指挥交通。,Jǐngchá zài fánmáng lùkǒu gāofēng shíduàn zhǐhuī jiāotōng.,警察官は混雑した交差点でラッシュ時に交通整理をします。,Keisatsukan wa konzatsu shita kousaten de rasshu ji ni koutsuu seiri o shimasu.,El policía dirige el tráfico durante la hora pico en una intersección concurrida.,Le policier dirige la circulation pendant l’heure de pointe à un carrefour animé.
1,pic_010,10.jpg,10000,The police officer interviews witnesses at the scene of an accident.,警察在事故现场采访目击者。,Jǐngchá zài shìgù xiànchǎng cǎifǎng mùjī zhě.,警察官は事故現場で目撃者に事情聴取します。,Keisatsukan wa jiko genba de mokugekisha ni jijou choushu shimasu.,El policía entrevista a los testigos en la escena de un accidente.,Le policier interroge les témoins sur les lieux d’un accident.
1,pic_011,11.jpg,10000,The firefighter uses a hose to put out flames in a burning building.,消防员用水管扑灭燃烧建筑物的火焰。,Xiāofángyuán yòng shuǐguǎn pūmiè ránshāo jiànzhùwù de huǒyàn.,消防士はホースを使って燃えている建物の火を消します。,Shouboushi wa hoosu o tsukatte moete iru tatemono no hi o keshimasu.,El bombero usa una manguera para apagar las llamas en un edificio en llamas.,Le pompier utilise un tuyau pour éteindre les flammes dans un bâtiment en feu.
1,pic_012,12.jpg,10000,The firefighter helps rescue a cat trapped in a tree.,消防员帮助救援被困在树上的猫。,Xiāofángyuán bāngzhù jiùyuán bèi kùn zài shù shàng de māo.,消防士は木に登って動けなくなった猫を救助します。,Shouboushi wa ki ni nobotte ugokenaku natta neko o kyujo shimasu.,El bombero ayuda a rescatar a un gato atrapado en un árbol.,Le pompier aide à sauver un chat coincé dans un arbre.
1,pic_013,13.jpg,10000,The chef prepares a delicious meal in a busy restaurant kitchen.,厨师在繁忙的餐厅厨房准备美味的饭菜。,Chúshī zài fánmáng de cāntīng chúfáng zhǔnbèi měiwèi de fàncài.,シェフは忙しいレストランのキッチンで美味しい料理を作ります。,Shefu wa isogashii resutoran no kicchin de oishii ryouri o tsukurimasu.,El chef prepara una comida deliciosa en la cocina de un restaurante concurrido.,Le chef prépare un délicieux repas dans la cuisine animée d’un restaurant.
1,pic_014,14.jpg,10000,The chef teaches students how to cook Italian food in a class.,厨师在课堂上教学生做意大利菜。,Chúshī zài kètáng shàng jiāo xuéshēng zuò Yìdàlì cài.,シェフはクラスで生徒にイタリア料理の作り方を教えます。,Shefu wa kurasu de seito ni Itaria ryouri no tsukurikata o oshiemasu.,El chef enseña a los estudiantes a cocinar comida italiana en una clase.,Le chef enseigne aux élèves comment cuisiner de la nourriture italienne en classe.
1,pic_015,15.jpg,10000,The waiter brings menus to customers and takes their orders with a smile.,服务员微笑着给顾客送菜单并点单。,Fúwùyuán wēixiào zhe gěi gùkè sòng càidān bìng diǎndān.,ウェイターは笑顔でお客様にメニューを渡し、注文を取ります。,"Weitaa wa egao de okyakusama ni menyuu o watashi, chuumon o torimasu.",El camarero lleva menús a los clientes y toma sus pedidos con una sonrisa.,Le serveur apporte les menus aux clients et prend leurs commandes avec un sourire.
1,pic_016,16.jpg,10000,The waiter serves drinks and clears empty plates from the table.,服务员上饮料并收走空盘子。,Fúwùyuán shàng yǐnliào bìng shōuzǒu kōng pánzi.,ウェイターは飲み物を出し、空いた皿を片付けます。,"Weitaa wa nomimono o dashi, aita sara o katazukemasu.",El camarero sirve bebidas y recoge los platos vacíos de la mesa.,Le serveur sert les boissons et débarrasse les assiettes vides de la table.
1,pic_017,17.jpg,10000,The cashier scans groceries quickly at the supermarket checkout.,收银员在超市收银台快速扫描商品。,Shōuyínyuán zài chāoshì shōuyín tái kuàisù sǎomiáo shāngpǐn.,レジ係はスーパーのレジで素早く商品をスキャンします。,Reji gakari wa suupaa no reji de subayaku shouhin o sukyan shimasu.,El cajero pasa los comestibles rápidamente en la caja del supermercado.,Le caissier scanne rapidement les articles à la caisse du supermarché.
1,pic_018,18.jpg,10000,The cashier counts change for a customer who pays in cash.,收银员为用现金付款的顾客数零钱。,Shōuyínyuán wèi yòng xiànjīn fùkuǎn de gùkè shǔ língqián.,レジ係は現金で支払うお客様のお釣りを数えます。,Reji gakari wa genkin de shiharau okyakusama no otsuri o kazoemasu.,El cajero cuenta el cambio para un cliente que paga en efectivo.,Le caissier rend la monnaie à un client qui paie en espèces.
1,pic_019,19.jpg,10000,The taxi driver picks up a passenger at the airport and helps with their luggage.,出租车司机在机场接乘客并帮他们拿行李。,Chūzūchē sījī zài jīchǎng jiē chéngkè bìng bāng tāmen ná xínglǐ.,タクシー運転手は空港で乗客を迎え、荷物を手伝います。,"Takushii untenshu wa kuukou de joukyaku o mukae, nimotsu o tetsudaimasu.",El taxista recoge a un pasajero en el aeropuerto y le ayuda con su equipaje.,Le chauffeur de taxi prend un passager à l’aéroport et l’aide avec ses bagages.
1,pic_020,20.jpg,10000,The bus driver greets children as they get on the school bus.,公交司机在学生上校车时打招呼。,Gōngjiāo sījī zài xuéshēng shàng xiàochē shí dǎ zhāohū.,バス運転手はスクールバスに乗る子供たちに挨拶します。,Basu untenshu wa sukuuru basu ni noru kodomotachi ni aisatsu shimasu.,El conductor del autobús saluda a los niños cuando suben al autobús escolar.,Le conducteur du bus salue les enfants lorsqu’ils montent dans le bus scolaire.
1,pic_021,21.jpg,10000,The mechanic repairs the engine of a car in the garage.,机械师在车库修理汽车发动机。,Jīxièshī zài chēkù xiūlǐ qìchē fādòngjī.,整備士はガレージで車のエンジンを修理します。,Seibishi wa gareeji de kuruma no enjin o shuuri shimasu.,El mecánico repara el motor de un coche en el taller.,Le mécanicien répare le moteur d’une voiture dans le garage.
1,pic_022,22.jpg,10000,The mechanic changes a flat tire for a customer.,机械师为顾客换轮胎。,Jīxièshī wèi gùkè huàn lúntāi.,整備士はお客様のためにパンクしたタイヤを交換します。,Seibishi wa okyakusama no tame ni panku shita taiya o koukan shimasu.,El mecánico cambia una llanta pinchada para un cliente.,Le mécanicien change un pneu crevé pour un client.
1,pic_023,23.jpg,10000,The electrician installs new lights in a modern office building.,电工在现代办公楼安装新灯。,Diàngōng zài xiàndài bàngōnglóu ānzhuāng xīn dēng.,電気技師は現代のオフィスビルに新しい照明を設置します。,Denki gishi wa gendai no ofisu biru ni atarashii shoumei o setchi shimasu.,El electricista instala nuevas luces en un edificio de oficinas moderno.,L’électricien installe de nouveaux luminaires dans un immeuble de bureaux moderne.
1,pic_024,24.jpg,10000,The electrician fixes a broken power socket at a client’s home.,电工在客户家修理坏掉的电源插座。,Diàngōng zài kèhù jiā xiūlǐ huàidiào de diànyuán chāzuò.,電気技師はお客様の家で壊れたコンセントを修理します。,Denki gishi wa okyakusama no ie de kowareta konsento o shuuri shimasu.,El electricista arregla un enchufe roto en la casa de un cliente.,L’électricien répare une prise cassée chez un client.
1,pic_025,25.jpg,10000,The plumber unblocks a kitchen sink that won’t drain.,水管工疏通堵塞的厨房水槽。,Shuǐguǎngōng shūtōng dǔsè de chúfáng shuǐcáo.,配管工は排水できないキッチンのシンクを詰まりを直します。,Haikanko wa haisui dekinai kicchin no shinku no tsumari o naoshimasu.,El plomero destapa un fregadero de cocina que no drena.,Le plombier débouche un évier de cuisine qui ne s’écoule pas.
1,pic_026,26.jpg,10000,The plumber repairs a leaking pipe under the bathroom sink.,水管工修理浴室水池下漏水的水管。,Shuǐguǎngōng xiūlǐ yùshì shuǐchí xià lòushuǐ de shuǐguǎn.,配管工は洗面台の下の水漏れパイプを修理します。,Haikanko wa senmendai no shita no mizumore paipu o shuuri shimasu.,El plomero repara una tubería que gotea bajo el lavabo del baño.,Le plombier répare un tuyau qui fuit sous le lavabo de la salle de bains.
1,pic_027,27.jpg,10000,The carpenter builds a wooden bookshelf for a family’s living room.,木匠为一家人的客厅制作木书架。,Mùjiàng wèi yījiā rén de kètīng zhìzuò mù shūjià.,大工は家族のリビングルーム用の木製本棚を作ります。,Daiku wa kazoku no ribingu ruumu you no mokusei hondana o tsukurimasu.,El carpintero construye una estantería de madera para la sala de una familia.,Le menuisier construit une étagère en bois pour le salon d’une famille.
1,pic_028,28.jpg,10000,The carpenter repairs a broken door in an old house.,木匠修理旧房子的坏门。,Mùjiàng xiūlǐ jiù fángzi de huài mén.,大工は古い家の壊れたドアを修理します。,Daiku wa furui ie no kowareta doa o shuuri shimasu.,El carpintero repara una puerta rota en una casa antigua.,Le menuisier répare une porte cassée dans une vieille maison.
1,pic_029,29.jpg,10000,The construction worker pours concrete to make the foundation of a new building.,建筑工人为新楼房的地基浇混凝土。,Jiànzhù gōngrén wèi xīn lóufáng de dìjī jiāo hùnníngtǔ.,建設作業員は新しい建物の基礎を作るためにコンクリートを流します。,Kensetsu sagyouin wa atarashii tatemono no kiso o tsukuru tame ni konkuriito o nagashimasu.,El obrero vierte cemento para hacer los cimientos de un nuevo edificio.,L’ouvrier du bâtiment coule du béton pour faire les fondations d’un nouveau bâtiment.
