schema_version,picture_id,file,display_ms,difficulty,zh_sentence,zh_tr,ja_sentence,ja_tr,en_sentence,es_sentence,fr_sentence
1,pic_001,pic_001.jpg,10000,A1,她在读书,Tā zài dúshū,彼女は本を読んでいます,Kanojo wa hon wo yonde imasu,She is reading a book,Ella está leyendo un libro,Elle lit un livre
1,pic_001,pic_001.jpg,10000,A2,这个女孩正专心地阅读一本有趣的小说,Zhège nǚhái zhèng zhuānxīn de yuèdú yī běn yǒuqù de xiǎoshuō,この女の子は面白い小説を集中して読んでいます,Kono onnanoko wa omoshiroi shousetsu wo shuuchuu shite yonde imasu,This girl is intently reading an interesting novel,Esta chica está leyendo atentamente una novela interesante,Cette fille lit attentivement un roman intéressant
1,pic_001,pic_001.jpg,10000,B1,一位年轻女士坐在舒适的环境中专注地阅读文学作品,Yī wèi niánqīng nǚshì zuò zài shūshì de huánjìng zhōng zhuānzhù de yuèdú wénxué zuòpǐn,若い女性が快適な環境で文学作品に集中して読書をしています,Wakai josei ga kaiteki na kankyou de bungaku sakuhin ni shuuchuu shite dokusho wo shite imasu,A young woman is concentrating on reading literature in a comfortable environment,Una joven se concentra en leer literatura en un ambiente cómodo,Une jeune femme se concentre sur la lecture de littérature dans un environnement confortable
1,pic_001,pic_001.jpg,10000,B2,这位女士全神贯注地沉浸在书籍的世界中，展现出对知识的渴望和学习的热情,Zhè wèi nǚshì quánshénguànzhù de chénmò zài shūjí de shìjiè zhōng zhǎnxiàn chū duì zhīshi de kěwàng hé xuéxí de rèqíng,この女性は本の世界に完全に没頭し、知識への渇望と学習への情熱を示しています,Kono josei wa hon no sekai ni kanzen ni bottou shi chishiki e no katsubou to gakushuu e no jounetsu wo shimeshite imasu,This woman is completely immersed in the world of books demonstrating her thirst for knowledge and passion for learning,Esta mujer está completamente inmersa en el mundo de los libros demostrando su sed de conocimiento y pasión por aprender,Cette femme est complètement immergée dans le monde des livres démontrant sa soif de connaissance et sa passion pour l'apprentissage
1,pic_001,pic_001.jpg,10000,C1,在这个宁静的时刻，这位女性正通过深度阅读来丰富自己的精神世界，体现了终身学习的理念和对智慧的不懈追求,Zài zhège níngjìng de shíkè zhè wèi nǚxìng zhèng tōngguò shēndù yuèdú lái fēngfù zìjǐ de jīngshén shìjiè tǐxiàn le zhōngshēn xuéxí de lǐniàn hé duì zhìhuì de bùxiè zhuīqiú,この静かな瞬間に、この女性は深い読書を通じて自分の精神世界を豊かにしており、生涯学習の理念と知恵への絶え間ない探求を体現しています,Kono shizuka na shunkan ni kono josei wa fukai dokusho wo tsuujite jibun no seishin sekai wo yutaka ni shite ori shougai gakushuu no rinen to chie e no taemanai tankyuu wo taigen shite imasu,In this tranquil moment this woman is enriching her spiritual world through deep reading embodying the concept of lifelong learning and relentless pursuit of wisdom,En este momento tranquilo esta mujer está enriqueciendo su mundo espiritual a través de la lectura profunda encarnando el concepto de aprendizaje permanente y la búsqueda incesante de sabiduría,En ce moment tranquille cette femme enrichit son monde spirituel par une lecture approfondie incarnant le concept d'apprentissage tout au long de la vie et la poursuite incessante de la sagesse
1,pic_001,pic_001.jpg,10000,C2,此情此景彰显了知识分子对文学艺术的深邃理解和审美追求，她的专注神态反映出现代社会中个体通过阅读实现自我超越和人格完善的崇高境界，这种求知若渴的精神状态正是人类文明传承和发展的重要基石,Cǐqíng cǐjǐng zhāngxiǎn le zhīshifènzǐ duì wénxué yìshù de shēnsuì lǐjiě hé shěnměi zhuīqiú tā de zhuānzhù shéntài fǎnyìng chū xiàndài shèhuì zhōng gètǐ tōngguò yuèdú shíxiàn zìwǒ chāoyuè hé réngé wánshàn de chóngāo jìngjiè zhè zhǒng qiúzhī ruòkě de jīngshén zhuàngtài zhèngshì rénlèi wénmíng chuánchéng hé fāzhǎn de zhòngyào jīshí,この情景は知識人の文学芸術に対する深遠な理解と美的追求を示しており、彼女の集中した表情は現代社会において個人が読書を通じて自己超越と人格完成という崇高な境地を実現することを反映しています。この知識への渇望の精神状態こそが人類文明の継承と発展の重要な基石なのです,Kono joukei wa chishikijin no bungaku geijutsu ni taisuru shin'en na rikai to biteki tsuikyuu wo shimeshite ori kanojo no shuuchuu shita hyoujou wa gendai shakai ni oite kojin ga dokusho wo tsuujite jiko choetsu to jinkaku kansei to iu suukou na kyouchi wo jitsugen suru koto wo hanei shite imasu kono chishiki e no katsubou no seishin joutai koso ga jinrui bunmei no keishou to hatten no juuyou na kiseki na no desu,This scene exemplifies the intellectual's profound understanding and aesthetic pursuit of literary arts her focused demeanor reflecting the sublime realm where individuals in modern society achieve self-transcendence and character perfection through reading this spirit of intellectual thirst being the cornerstone of human civilization's inheritance and development,Esta escena ejemplifica la comprensión profunda y búsqueda estética del intelectual hacia las artes literarias su comportamiento concentrado refleja el reino sublime donde los individuos en la sociedad moderna logran la autotrascendencia y perfección del carácter a través de la lectura este espíritu de sed intelectual siendo la piedra angular de la herencia y desarrollo de la civilización humana,Cette scène illustre la compréhension profonde et la quête esthétique de l'intellectuel envers les arts littéraires son comportement concentré reflétant le royaume sublime où les individus de la société moderne atteignent l'auto-transcendance et la perfection du caractère par la lecture cet esprit de soif intellectuelle étant la pierre angulaire de l'héritage et du développement de la civilisation humaine
1,pic_002,pic_002.jpg,10000,A1,她在读书,Tā zài dúshū,彼女は本を読んでいます,Kanojo wa hon wo yonde imasu,She is reading a book,Ella está leyendo un libro,Elle lit un livre
1,pic_002,pic_002.jpg,10000,A2,这个女孩正专心地阅读一本有趣的小说,Zhège nǚhái zhèng zhuānxīn de yuèdú yī běn yǒuqù de xiǎoshuō,この女の子は面白い小説を集中して読んでいます,Kono onnanoko wa omoshiroi shousetsu wo shuuchuu shite yonde imasu,This girl is intently reading an interesting novel,Esta chica está leyendo atentamente una novela interesante,Cette fille lit attentivement un roman intéressant
1,pic_002,pic_002.jpg,10000,B1,一位年轻女士坐在舒适的环境中专注地阅读文学作品,Yī wèi niánqīng nǚshì zuò zài shūshì de huánjìng zhōng zhuānzhù de yuèdú wénxué zuòpǐn,若い女性が快適な環境で文学作品に集中して読書をしています,Wakai josei ga kaiteki na kankyou de bungaku sakuhin ni shuuchuu shite dokusho wo shite imasu,A young woman is concentrating on reading literature in a comfortable environment,Una joven se concentra en leer literatura en un ambiente cómodo,Une jeune femme se concentre sur la lecture de littérature dans un environnement confortable
1,pic_002,pic_002.jpg,10000,B2,这位女士全神贯注地沉浸在书籍的世界中，展现出对知识的渴望和学习的热情,Zhè wèi nǚshì quánshénguànzhù de chénmò zài shūjí de shìjiè zhōng zhǎnxiàn chū duì zhīshi de kěwàng hé xuéxí de rèqíng,この女性は本の世界に完全に没頭し、知識への渇望と学習への情熱を示しています,Kono josei wa hon no sekai ni kanzen ni bottou shi chishiki e no katsubou to gakushuu e no jounetsu wo shimeshite imasu,This woman is completely immersed in the world of books demonstrating her thirst for knowledge and passion for learning,Esta mujer está completamente inmersa en el mundo de los libros demostrando su sed de conocimiento y pasión por aprender,Cette femme est complètement immergée dans le monde des livres démontrant sa soif de connaissance et sa passion pour l'apprentissage
