schema_version,sentence_id,word_id,difficulty,base_en,base_audio_ms,zh_sentence,ja_sentence,es_sentence,fr_sentence,en_sentence,zh_tr,ja_tr
1,sent_001,w_001,A1,small eat,1660,我喜欢吃,私の食べる,comer aquí ahora,petit manger,small eat,wǒ de chī,taberu wa furui
1,sent_002,w_002,A1,small water,1855,水很好,水は大きい,me gusta agua,eau très bien,small water,nǐ de shuǐ,watashi no mizu
1,sent_003,w_003,A1,house here now,1310,我喜欢房子,家は新しい,tu casa,nouveau maison,house here now,fángzi zài zhèlǐ,ie ga arimasu
1,sent_004,w_004,A1,big very nice,950,新大,大きいを食べる,grande aquí ahora,nouveau grand,big very nice,dà bùcuò,ookii wa atarashii
1,sent_005,w_005,A1,old happy,1483,高兴不错,嬉しいは新しい,mi feliz,heureux ici maintenant,old happy,nǐ de gāoxìng,ureshii ga arimasu
1,sent_006,w_006,A1,small book,1018,书不错,本は新しい,viejo libro,vieux livre,small book,shū hěn měi,hon wa atarashii
1,sent_007,w_007,A1,your study,1147,大学习,勉強するは新しい,estudiar muy bien,mon étudier,your study,xuéxí zài zhèlǐ,anata no benkyou suru
1,sent_008,w_008,A1,new beautiful,924,我喜欢美丽,美しいです,mi hermoso,votre beau,new beautiful,měilì zài zhèlǐ,utsukushii ga arimasu
1,sent_009,w_009,A1,big important,1701,重要不错,重要は新しい,importante es bueno,important est bon,big important,wǒ de zhòngyào,juuyou wa chiisai
1,sent_010,w_010,A1,small understand,1233,理解很美,理解するがいい,me gusta entender,grand comprendre,small understand,wǒ de lǐjiě,rikai suru wa atarashii
1,sent_011,w_011,A1,old environment,1496,小环境,あなたの環境,nuevo medio ambiente,votre environnement,old environment,huánjìng hěn měi,kankyou desu
1,sent_012,w_012,A1,old develop,1900,发展很美,発展するは新しい,mi desarrollar,petit développer,old develop,fāzhǎn zài zhèlǐ,anata no hatten suru
1,sent_013,w_013,A1,big society,1393,社会在这里,社会があります,nuevo sociedad,société ici maintenant,big society,shèhuì hěn měi,watashi no shakai
1,sent_014,w_014,A1,culture is good,1191,小文化,文化は古い,cultura muy bien,nouveau culture,culture is good,wénhuà hěn hǎo,anata no bunka
1,sent_015,w_015,A1,small experience,1690,经验很好,あなたの経験,nuevo experiencia,vieux expérience,small experience,xiǎo jīngyàn,keiken ga ii
1,sent_016,w_016,A1,significant is good,1538,小重要的,重要なは古い,viejo significativo,vieux significatif,significant is good,wǒ de zhòngyào de,juuyou na wa chiisai
1,sent_017,w_017,A1,analyze here now,1117,分析不错,あなたの分析する,mi analizar,analyser très bien,analyze here now,xiǎo fēnxī,watashi no bunseki suru
1,sent_018,w_018,A1,complex very nice,1714,复杂在这里,複雑は小さい,complejo muy bien,votre complexe,complex very nice,fùzá hěn hǎo,fukuzatsu ga ii
1,sent_019,w_019,A1,influence very nice,878,你的影响,影響するです,tu influir,j'aime influencer,influence very nice,xīn yǐngxiǎng,eikyou suru wa chiisai
1,sent_020,w_020,A1,big demonstrate,1609,我喜欢证明,実証するがあります,gran demostrar,nouveau démontrer,big demonstrate,zhèngmíng hěn hǎo,jisshou suru wa furui
1,sent_021,w_021,A1,small phenomenon,980,新现象,現象がいい,fenómeno muy bien,phénomène est bon,small phenomenon,xiànxiàng hěn měi,genshou ga ii
1,sent_022,w_022,A1,my comprehensive,1954,大全面的,包括的は大きい,comprensivo muy bien,j'aime compréhensif,my comprehensive,xīn quánmiàn de,houkatsuteki desu
1,sent_023,w_023,A1,fundamental here now,1574,新基本的,基本的は大きい,pequeño fundamental,nouveau fondamental,fundamental here now,nǐ de jīběn de,kihonteki desu
1,sent_024,w_024,A1,your constitute,1386,新构成,構成するは新しい,constituir muy bien,constituer très bien,your constitute,dà gòuchéng,kousei suru ga arimasu
1,sent_025,w_025,A1,your paradigm,1204,你的范式,私のパラダイム,paradigma muy bien,paradigme ici maintenant,your paradigm,xīn fànshì,watashi no paradaimu
1,sent_026,w_026,A1,big eat,988,吃不错,食べるがいい,gran comer,mon manger,big eat,chī hěn hǎo,taberu wa atarashii
1,sent_027,w_027,A1,your water,1068,水很好,水を食べる,agua muy bien,j'aime eau,your water,nǐ de shuǐ,mizu ga ii
1,sent_028,w_028,A1,house here now,1372,我喜欢房子,家は古い,pequeño casa,j'aime maison,house here now,xīn fángzi,ie wa furui
1,sent_029,w_029,A1,big here now,1634,大不错,あなたの大きい,me gusta grande,grand ici maintenant,big here now,xīn dà,ookii ga arimasu
1,sent_030,w_030,A1,I like happy,1885,高兴很美,嬉しいは新しい,feliz muy bien,nouveau heureux,I like happy,wǒ xǐhuān gāoxìng,ureshii wo taberu
1,sent_031,w_031,A1,my book,1176,小书,本を食べる,libro es bueno,mon livre,my book,dà shū,hon wo taberu
1,sent_032,w_032,A1,old study,1728,大学习,勉強するは古い,estudiar muy bien,grand étudier,old study,xuéxí bùcuò,benkyou suru wa chiisai
1,sent_033,w_033,A1,old beautiful,1900,我的美丽,美しいです,viejo hermoso,beau très bien,old beautiful,měilì hěn hǎo,anata no utsukushii
1,sent_034,w_034,A1,my important,1904,新重要,重要は大きい,importante muy bien,vieux important,my important,wǒ de zhòngyào,juuyou ga arimasu
1,sent_035,w_035,A1,understand is good,1667,理解很好,私の理解する,viejo entender,comprendre très bien,understand is good,lǐjiě hěn hǎo,rikai suru wa furui
1,sent_036,w_036,A1,environment is good,1956,环境在这里,あなたの環境,medio ambiente aquí ahora,j'aime environnement,environment is good,wǒ de huánjìng,kankyou wa furui
1,sent_037,w_037,A1,develop is good,1891,小发展,発展するがあります,viejo desarrollar,grand développer,develop is good,fāzhǎn hěn hǎo,hatten suru wa furui
1,sent_038,w_038,A1,new society,1055,我的社会,あなたの社会,viejo sociedad,société ici maintenant,new society,wǒ de shèhuì,shakai wo taberu
1,sent_039,w_039,A1,small culture,1406,大文化,文化は小さい,tu cultura,culture très bien,small culture,dà wénhuà,bunka wa ōkii
1,sent_040,w_040,A1,new experience,1440,新经验,経験を食べる,tu experiencia,vieux expérience,new experience,wǒ de jīngyàn,keiken wo taberu
1,sent_041,w_041,A1,new significant,981,我喜欢重要的,重要なです,mi significativo,vieux significatif,new significant,xiǎo zhòngyào de,juuyou na wa ōkii
1,sent_042,w_042,A1,my analyze,1690,分析在这里,私の分析する,analizar es bueno,vieux analyser,my analyze,fēnxī hěn hǎo,bunseki suru wa chiisai
1,sent_043,w_043,A1,new complex,1000,你的复杂,複雑を食べる,me gusta complejo,mon complexe,new complex,fùzá hěn hǎo,anata no fukuzatsu
1,sent_044,w_044,A1,your influence,942,大影响,影響するは古い,influir es bueno,influencer très bien,your influence,yǐngxiǎng hěn hǎo,eikyou suru wa ōkii
